Citation Key,Title,Publishing year,DOI,Tool Name,Category,Type,Description of Tool,Standard,Implementation,Experimentation Version,Last Change,Language,Operational,Input,Output,Way of running,Documentation and Setup Instruction,Special inptus or outputs,Process Models,Notes
constraintchecking,Checking Constraints for Object-Centric Process Executions,2024,10.1007/978-3-031-56107-8_30,ObjectCentricConstraintChecking,Constraint Checking,ProM Plugin,"creating and checking of Object-Centric Constraint Models
",OCEL 1.0,?,"date:2025.01.22
",,java,No,"OCEL , Constraint Graphs",,ProM,None,Constraint Graph Builder,Object Centric Constraint Models,Throws Null Pointer Exception
oclpm,Object-Centric Local Process Models,2025,10.1007/978-3-031-82225-4_28,ObjectCentricLPMs,Discovery,ProM Plugin,"discovery of object-centric local process models
",OCEL 1.X,https://github.com/promworkbench/ObjectCentricLPMs,date:2025.01.22,,java,No,OCEL,Object-Centric Local Process Models,ProM,None,,Object-Centric Local Process Models (Small Petri Nets),Throws Null Pointer Exception
ocpa,ocpa: A Python library for object-centric process analysis,2022,10.1016/j.simpa.2022.100438,ocpa,"Extraction, Discovery, Performance, Conformance",Library,specilized object centric process mining library,OCEL 1.0,github.com/ocpm/ocpa,"v1.3.4,  c#:8f4b4e460414b794abbb1566e85eb123ae42a99c",,python,No,OCEL,"Petri Nets, Process Executions, Variants, conformance metrics, performance metrics","pypi (only supports ocel 1.0), github ocel 2.0 branch",https://ocpa.readthedocs.io/en/latest/index.html,,"Petri Net, Variant","Imports are very slow and the project looks abandoned. See https://github.com/ocpm/ocpa/issues/19
. The ocel2 branch is not installable and appears to require Python 8."
pm4py,PM4Py: A process mining library for Python,2023,10.1016/j.simpa.2023.100556,PM4Py,"Extraction, Discovery, Filtering, Conformance (Only as part of discovery)",Library,process mining library for python,OCEL 2.0,https://github.com/process-intelligence-solutions/pm4py,v2.7.16,,python,Yes,OCEL (importable also through connectors),"OCEL, Directly Follows Graphs, Petri Nets ",pypi,https://processintelligence.solutions/static/api/2.7.16/,,"Petri Net, Directly Follows Graph","Process outputs are returned as tuples of flattened, case-centric representations. DataFrame constants are difficult to work with, and function naming is confusing."
rust4pm,Rust4PM: A Versatile Process Mining Library for When Performance Matters,2024,10.18154/RWTH-2025-00402,Rust4PM (process_mining),Extraction,Library,"process mining library for rust
",OCEL 2.0,https://github.com/aarkue/rust4pm,v0.3.25,,rust,Yes,OCEL,,cargo,process_mining - Rust,,,Support is limited to importing OCELs in Rust and returning an OCEL instance as output.
pm4js,OCEL 2.0 Resources -- www.ocel-standard.org,2024,10.48550/arXiv.2403.01982,pm4js,"Extraction, Filtering",Library,"process mining library for javascript/typescript
",OCEL 2.0,https://github.com/pm4js/pm4js-core,v0.0.38,,javascript,Yes,OCEL,Statistics,npm,https://github.com/pm4js/pm4js-core/blob/HEAD/DOCS.md,,"Petri Net, Directly Follows Graph, Buisness Process Models",The documentation is very minimal and quite short.
olap,OLAP Operations for Object-Centric Process Mining,"2022, 2025","10.1007/978-3-031-94590-8_14, 10.1109/ACCESS.2022.3226573",processmining,"Discovery,  Transformation",Library,"process mining library implementing Markov Directly-Follow Multigraph, drill-down, roll-up, unfold, fold operations
",OCEL 2.0,"https://github.com/jalaliamin/processmining, https://github.com/shahrzadkhayatbashi/olap-operations4ocel/blob/main/running-example/notebooks/demo.ipynb",v1.0.14,,python,Yes,"OCEL, (EKG)","OCEL, Directly Follows Graphs ",pypi,(example projects):  https://github.com/jalaliamin/ResearchCode,,Directly Follows Graph,
ocpm,OC-PM: analyzing object-centric event logs and process models,2022,10.1007/s10009-022-00668-w,OCPM,"Extraction, Filtering,  Discovery, Conformance",Hosted,general-purpose tool for object-centric process mining,OCEL 2.0,https://github.com/Javert899/pm4js-sandbox,date:2025.01.22,15.08.2024,javascript,Yes,"OCEL, (Provides Default Ocels)","OCEL, Directly Follows Graphs (Annotated), Petri Nets(Annotated), Decision Trees, Statistics",Hosted (https://www.ocpm.info/),,Uses Process Models as Input fields for filtering.,"Petri Net, Directly Follows Graph, Buisness Process Models","The implementation is quite messy. The site runs entirely on the client, which makes it laggy, and some input fields are not very user friendly."
ocel2,OCEL 2.0 Resources -- www.ocel-standard.org,2024,10.48550/arXiv.2403.01982,Ocelot, Inspection,Hosted,event log inspector,OCEL 2.0,https://ocelot.pm/,date:2025.01.22,?,typescript,Yes,OCEL,"Tabular OCEL entities, OCEL relations in UML, OCEL Attributes summaries, Exported OCEL ",Hosted (https://ocelot.pm/),,Filtering input field for time with bar chart,,The project was closed source and was later removed from the private repository.
ocpi,OCπ: Object-Centric Process Insights,2022,10.1007/978-3-031-06653-5_8,OC π ,"Discovery, Variant Analysis",GUI,discovery of object-centric Petri nets and process execution variants,OCEL 2.0,https://ocpi.ai/,"date:2025.01.22
",,closed source,Yes,OCEL,"Petri Net, Variants ",Installers,None,Fields populated with object types and activities,"Petri Net, Variants","The work is described as open source, but the implementation cannot be found."
opera,OPerA: Object-Centric Performance Analysis,2022,10.1007/978-3-031-17995-2_20,OPerA,Performance,GUI,"calculating performance metrics (like synchronization, pooling, and lagging time)  using object-centric Petri nets",OCEL 1.0,https://github.com/gyunamister/OPerA,c#:e9c041ece47f87aaf00ea767d46a9575dd97ba8b,23.06.2022,python,No,OCEL,Petri Net (Annotated with Performance metrics),Web App (manually build with docker),in repository,"OCEL Fields, Annotated Petri Net with clickable transitions",Petri Net,"The python-dev setup is broken. There appears to be an issue in the requirements, resulting in an ImportError related to werkzeug."
ocpsm,Discovering Object-Centric Process Simulation Models,2023,10.1109/ICPM60904.2023.10271944,OCPS,Simulation,GUI,discovery and execution of simulation models based on Object-Centric  Event Logs (OCELs),OCEL 1.X,https://github.com/beneknopp/OCPS/tree/main,c#:7831a756fa2352862478ceb52c8e3356aa4b777c,18.03.2025,python (backend) / typescript (frontend),No,OCEL,Object Simulation Models,Web App (backend and frontend have to be run manually),minimal and incomplete in repository,"Leading Type, E2O selects so for each activity to select one object, Petri Net guiding through simulation",Petri Net,No Python package management is provided.
